CustomerID,Gender,Age, Annual Income ,Spending Score ,Profession,City,Membership Type,Tenure (Years)
1,Male,38,"31,54,000",7,Manager,Bangalore,Silver,1
2,Female,49,"40,67,000",14,Doctor,Mumbai,Silver,9
3,Male,40,"33,20,000",79,Artist,Delhi,Gold,7
4,Male,50,"41,50,000",7,Doctor,Chennai,Gold,8
5,Male,20,"16,60,000",9,Teacher,Pune,Silver,9
6,Female,35,"29,05,000",48,Artist,Pune,Gold,6
7,Male,42,"34,86,000",72,Student,Delhi,Gold,5
8,Male,59,"48,97,000",59,Lawyer,Chennai,Gold,6
9,Male,48,"39,84,000",87,Lawyer,Delhi,Gold,2
10,Female,20,"16,60,000",93,Engineer,Mumbai,Gold,4
11,Male,57,"47,31,000",82,Teacher,Bangalore,Gold,3
12,Male,63,"52,29,000",95,Teacher,Kolkata,Silver,7
13,Male,41,"34,03,000",94,Manager,Pune,Gold,9
14,Male,67,"55,61,000",39,Doctor,Mumbai,Gold,5
15,Female,49,"40,67,000",99,Teacher,Bangalore,Platinum,6
16,Male,64,"53,12,000",18,Teacher,Mumbai,Gold,10
17,Female,39,"32,37,000",59,Student,Chennai,Gold,2
18,Female,40,"33,20,000",17,Student,Pune,Silver,
19,Female,19,"15,77,000",14,Artist,Kolkata,Silver,3
20,Male,44,"36,52,000",31,Entrepreneur,Delhi,Silver,9
21,Female,59,"48,97,000",24,Entrepreneur,Delhi,Silver,7
22,Male,19,"15,77,000",99,Engineer,Bangalore,Gold,8
23,Female,43,"35,69,000",60,Entrepreneur,Kolkata,Platinum,10
24,Female,34,"28,22,000",45,Manager,Hyderabad,Silver,9
25,Female,57,"47,31,000",98,Engineer,Chennai,Silver,6
26,Female,50,"41,50,000",3,Artist,Bangalore,Gold,4
27,Female,26,"21,58,000",37,Student,Hyderabad,Silver,1
28,Female,60,"49,80,000",43,Entrepreneur,Mumbai,Gold,8
29,Female,65,"53,95,000",40,Doctor,Chennai,Gold,
30,Female,56,"46,48,000",90,Student,Mumbai,Gold,2
31,Male,46,"38,18,000",,Lawyer,Kolkata,Silver,8
32,Male,59,"48,97,000",87,Manager,Pune,Silver,5
33,Female,43,"35,69,000",39,Student,Chennai,Gold,7
34,Female,52,"43,16,000",15,Manager,Hyderabad,Gold,4
35,Female,67,"55,61,000",4,Manager,Pune,Silver,5
36,Male,42,"34,86,000",93,Manager,Delhi,Gold,8
37,Female,41,"34,03,000",,Artist,Hyderabad,Silver,1
38,Male,30,"24,90,000",25,Manager,Bangalore,Gold,1
39,Male,24,"19,92,000",13,Manager,Delhi,Silver,4
40,Male,53,"43,99,000",82,Lawyer,Delhi,Platinum,3
41,Male,62,"51,46,000",33,Doctor,Bangalore,Silver,10
42,Male,37,"30,71,000",16,Engineer,Chennai,Silver,2
43,Female,18,"14,94,000",42,Teacher,Delhi,Silver,3
44,Female,25,"20,75,000",66,Lawyer,Kolkata,Silver,1
45,Female,63,"52,29,000",55,Engineer,Hyderabad,Platinum,1
46,Female,33,"27,39,000",99,Manager,Pune,Platinum,6
47,Female,31,"25,73,000",42,Doctor,Delhi,Silver,5
48,Male,29,"24,07,000",34,Student,Hyderabad,Silver,8
49,Female,68,"56,44,000",30,Doctor,Mumbai,Gold,2
50,Female,40,"33,20,000",13,Lawyer,Hyderabad,Platinum,4
51,Male,32,"26,56,000",13,Manager,Pune,Gold,8
52,Female,45,"37,35,000",18,Doctor,Hyderabad,Silver,6
53,Male,51,"42,33,000",32,Entrepreneur,Bangalore,Silver,1
54,Female,19,"15,77,000",96,Doctor,Pune,Gold,4
55,Male,49,"40,67,000",99,Manager,Chennai,Silver,1
56,Female,40,"33,20,000",39,Artist,Mumbai,Gold,2
57,Female,39,"32,37,000",46,Entrepreneur,Bangalore,Silver,5
58,Male,68,"56,44,000",29,Doctor,Chennai,Gold,8
59,Male,42,"34,86,000",62,Teacher,Hyderabad,Silver,8
60,Male,39,"32,37,000",93,Teacher,Pune,Gold,3
